epoch,train_loss,test_loss,vae_efficiency,n0_fr1,zero_pixels
0,320.23035626918545,339.91691629130105,0.52,58,0.0
1,296.43254544047335,314.19627660054425,0.545,65,0.0
2,286.0994014918845,303.8292850255966,0.44,50,0.0
3,280.5445576214019,297.4205184005774,0.43,50,0.0
4,276.85965299974254,294.1651681512594,0.5,61,0.0
5,274.16974945680033,291.2793491987082,0.485,59,0.02
6,272.0383875568072,289.36694872379303,0.52,60,0.005
7,270.2946721220449,287.30191338062286,0.485,61,0.02
8,268.8303799215313,285.6860971748829,0.5,58,0.03
9,267.51403821332303,284.40532142439713,0.505,53,0.075
10,266.4078284353404,283.28527252719954,0.505,55,1.775
11,265.37097338789977,282.2215783779438,0.49,59,2.775
12,264.4632472487198,281.7379882702461,0.43,52,4.265
13,263.6210463460744,280.5403353262406,0.53,50,2.63
14,262.86498946155865,280.1077186373564,0.46,51,54.515
15,262.17779478400314,279.45679288644055,0.48,56,74.245
16,261.5377252028857,278.54930743575096,0.495,58,130.165
17,260.94581122042985,277.73753155653293,0.495,53,140.025
18,260.3793256506108,277.69150203924914,0.485,63,266.185
19,259.84821569919586,276.5191078919631,0.55,56,428.775
20,259.3946812182297,276.24821181308766,0.455,48,154.44
21,258.931364131617,276.09082862505545,0.52,60,387.515
22,258.5099826481008,275.80862175042813,0.515,59,561.225
23,258.1109911527344,275.0968404641518,0.51,55,465.325
24,257.71970658119886,274.27515781155,0.49,51,424.54
25,257.34718079051675,274.4720828120525,0.45,51,1143.49
26,257.01698766541796,274.12572877452925,0.505,55,566.205
27,256.6785356824381,273.29040465675865,0.485,59,1162.84
28,256.36312111843796,272.78899570841054,0.46,51,976.33
29,256.0593376286127,273.1257457595605,0.455,53,1080.52
30,255.78298330445094,272.4328285375467,0.46,52,855.875
31,255.51530811834255,272.3301570507196,0.435,43,937.095
32,255.24341671278955,272.1256240514609,0.47,54,1449.72
33,254.98600503043275,271.7832771608463,0.525,55,1272.69
34,254.7622773601158,271.5191951164833,0.485,51,1289.275
35,254.52453616856982,271.4326978279994,0.545,58,1412.69
36,254.2678240731874,271.0299775119011,0.52,53,1662.475
37,254.0256161325644,271.00579399558217,0.51,51,1884.195
38,253.83604392240804,270.6457071350171,0.515,53,1508.615
39,253.61250736596762,270.1887593349585,0.5,56,2085.955
40,253.41394421153453,270.17420344169324,0.5,48,2034.97
41,253.21469652643657,269.88549131613513,0.545,56,2282.73
42,253.04499094843447,269.38795405626297,0.495,51,2395.18
43,252.8527566839729,269.36662450662027,0.51,53,2287.4
44,252.67357233228017,269.3974644450041,0.475,43,3042.7
45,252.49146604152773,268.90017597491925,0.52,48,1720.965
46,252.31113711349704,268.88898409329926,0.48,47,2310.945
47,252.1562078796024,268.61352837085724,0.505,53,2359.625
48,252.00376150299547,268.74046847453485,0.56,63,2177.045
49,251.83335826593535,268.22529869813184,0.54,54,2847.225
50,251.68054390244325,268.13781908842236,0.51,53,2772.22
51,251.51984741244078,268.2917478634761,0.52,52,2483.98
52,251.40211926326396,267.8913438595258,0.48,48,2749.605
53,251.24512096382355,267.8170648217201,0.565,52,2985.93
54,251.12569367211506,267.4132019969133,0.465,49,3248.825
55,250.955186474961,267.65495603359665,0.52,54,3197.155
56,250.82797413645602,267.0274649996024,0.5,53,2822.32
57,250.69331018249903,267.04138521964734,0.49,45,3095.785
58,250.56981677555527,266.9219214537969,0.51,47,3100.53
59,250.43230764452704,266.83758521080017,0.5,46,3077.27
60,250.31681330453657,266.52792142446225,0.485,48,3511.925
61,250.1852612965646,266.47270719821637,0.525,55,2990.05
62,250.07600961474998,266.13345749905477,0.495,47,3800.815
63,249.96188954721225,266.1269406355344,0.435,46,3026.855
64,249.8356314980208,265.94523364305496,0.535,45,3686.295
65,249.728612913589,265.7732913127312,0.495,45,4053.505
66,249.62677780358354,265.92943896811744,0.48,43,3052.56
67,249.50948010528802,265.76136110379144,0.47,44,3489.1
68,249.3908374074428,265.4269392123589,0.445,43,4330.385
69,249.29283270685434,265.3505232792634,0.55,56,3720.89
70,249.20429798496005,264.93658804893494,0.53,48,3577.47
71,249.085903954386,265.02470177182784,0.49,36,3984.105
72,248.97775155904543,265.1035071382156,0.46,42,3984.305
73,248.90381036199386,264.8682750555185,0.5,42,4022.275
74,248.79138820219686,264.51464518675436,0.515,49,4742.275
75,248.7004378106132,264.85336249149765,0.515,42,3946.37
76,248.58569844229484,264.45458117815167,0.46,43,4325.055
77,248.5085142306703,264.5158715431507,0.58,51,4231.52
78,248.41620840413634,264.3619186557256,0.525,51,4290.045
79,248.32458756511812,264.2284982983883,0.535,50,3752.9
80,248.2392883728125,264.08159656708057,0.515,51,4573.045
81,248.1420378719156,264.4027035465607,0.505,45,4501.775
82,248.05091114477347,263.562120357385,0.545,52,4645.485
83,247.96254697563336,263.8200772909018,0.505,48,3936.28
84,247.8729578568212,263.8889369047605,0.5,47,4235.49
85,247.79233918032293,263.39823380800397,0.415,30,4645.405
