,k,epoch,learning_rate,train_loss
0,0.0,0.0,0.0008,4708069.924790323
1,0.0,1.0,0.0008,196.99174151179767
2,0.0,2.0,0.0008,192.81876547456991
3,0.0,3.0,0.0008,190.19917187006786
4,0.0,4.0,0.0008,188.50857850970644
5,0.0,5.0,0.0008,187.76906327681107
6,0.0,6.0,0.0008,187.29539717240766
7,0.0,7.0,0.0008,186.25068824228615
8,0.0,8.0,0.0008,186.17353834980665
9,0.0,9.0,0.0008,185.94559561681265
10,0.0,10.0,0.0008,185.5203008724945
11,0.0,11.0,0.0008,185.11990333017675
12,0.0,12.0,0.0008,184.98375594322127
13,0.0,13.0,0.0008,184.83502974076706
14,0.0,14.0,0.0008,184.6050512818616
15,0.0,15.0,0.0008,184.6440196644176
16,0.0,16.0,0.0008,184.32876837219854
17,0.0,17.0,0.0008,184.16974206173057
18,0.0,18.0,0.0008,184.2559750335385
19,0.0,19.0,0.0008,183.8850693581321
20,0.0,20.0,0.0008,183.87917702414774
21,0.0,21.0,0.0008,183.84575703322287
22,0.0,22.0,0.0008,183.4187797654277
23,0.0,23.0,0.0008,183.47736409505208
24,0.0,24.0,0.0008,183.14502967911537
25,0.0,25.0,0.0008,183.02475828845093
26,0.0,26.0,0.0008,182.89712917751737
27,0.0,27.0,0.0008,182.70005704012783
28,0.0,28.0,0.0008,182.36259912355982
29,0.0,29.0,0.0008,182.1813617005011
30,0.0,30.0,0.0008,181.69070905589095
31,0.0,31.0,0.0008,181.17505521523833
32,0.0,32.0,0.0008,180.63782520024463
33,0.0,33.0,0.0008,179.95703875917377
34,0.0,34.0,0.0008,179.7004333249487
35,0.0,35.0,0.0008,179.14964827720564
36,0.0,36.0,0.0008,178.88874940814395
37,0.0,37.0,0.0008,178.775247605449
38,0.0,38.0,0.0008,178.47584406072443
39,0.0,39.0,0.0008,178.30733218414616
40,0.0,40.0,0.0008,178.25355942234847
41,0.0,41.0,0.0008,177.85604541508837
42,0.0,42.0,0.0008,177.77277259903724
43,0.0,43.0,0.0008,177.56484829989347
44,0.0,44.0,0.0008,177.4352520813605
45,0.0,45.0,0.0008,177.30968430644333
46,0.0,46.0,0.0008,177.179277454723
47,0.0,47.0,0.0008,177.03396679194287
48,0.0,48.0,0.0008,177.01259440104167
49,0.0,49.0,0.0008,176.85088269166272
50,0.0,50.0,0.0008,176.90461771030618
51,0.0,51.0,0.0008,176.8240634987571
52,0.0,52.0,0.0008,176.60182394008444
53,0.0,53.0,0.0008,176.4986297792377
54,0.0,54.0,0.0008,176.46018010919744
55,0.0,55.0,0.0008,176.50279891197127
56,0.0,56.0,0.0008,176.35022259953047
57,0.0,57.0,0.0008,176.25274091007734
58,0.0,58.0,0.0008,176.14567705867267
59,0.0,59.0,0.0008,175.95594736426767
60,0.0,60.0,0.0008,175.95492510554766
61,0.0,61.0,0.0008,175.83369694257024
62,0.0,62.0,0.0008,175.63573531950362
63,0.0,63.0,0.0008,175.74005247790404
64,0.0,64.0,0.0008,175.58277434994477
65,0.0,65.0,0.0008,175.6637122568458
