,Epoch,Train_Loss,Test_Loss,Sigma_clipped,VAE_efficiency
0,0.0,181.077894354282,163.32665053367614,94964.45,0.485
1,1.0,179.24440749573589,160.82200830459595,91645.35,0.515
2,2.0,178.1190335811268,160.7628520488739,89737.55,0.49
3,3.0,175.34408972569187,157.1557016849518,91078.5,0.455
4,4.0,175.24096500966886,159.1477306365967,91560.8,0.485
5,5.0,174.21750351621648,157.5575270462036,92369.4,0.445
6,6.0,173.09320969959703,158.88408487319947,92827.85,0.51
7,7.0,173.05116005993852,155.3506652832031,91714.35,0.475
8,8.0,171.62758588713828,155.42281967163086,92259.2,0.505
9,9.0,174.57369656244913,158.04486911773682,93254.4,0.485
10,10.0,170.23238643973764,153.8037481689453,93128.9,0.55
11,11.0,169.17077523819123,152.08203094482423,93547.5,0.575
12,12.0,168.56266442115862,153.70281600952148,93574.3,0.545
13,13.0,169.4561060853438,157.0311972808838,94052.25,0.445
14,14.0,168.0495079901724,153.17147438049315,93718.5,0.49
15,15.0,167.7091702784914,151.9390217590332,93702.4,0.51
16,16.0,167.49010878938617,152.2554658508301,94737.15,0.49
17,17.0,167.23659370056308,151.29074813842774,94976.25,0.505
18,18.0,167.09292916172683,151.63222320556642,95179.8,0.505
19,19.0,166.95988958146836,151.09701873779298,94249.65,0.555
20,20.0,166.89805845742274,151.59425788879395,95422.7,0.47
21,21.0,166.59015853689175,151.6055241394043,95204.5,0.48
22,22.0,166.70133708568534,150.86718589782714,95214.3,0.53
23,23.0,166.5501568087183,151.68048805236816,95209.65,0.545
24,24.0,166.38935684897683,150.76549209594725,94508.5,0.585
25,25.0,166.25481578711307,150.6646006011963,94612.65,0.51
26,26.0,166.11872065688624,151.04762283325195,95359.65,0.49
27,27.0,166.1616182704887,150.62633697509764,95128.85,0.54
28,28.0,166.04122051816998,151.2661183166504,95657.3,0.5
29,29.0,165.95423564371436,151.41807250976564,95307.65,0.53
30,30.0,165.9075601196289,151.2249606323242,95123.7,0.445
31,31.0,165.8640966060908,150.1519918823242,95065.4,0.53
32,32.0,165.75649666449036,151.3503887939453,95449.8,0.445
33,33.0,165.83089259446268,151.2234186553955,94864.85,0.475
34,34.0,165.65623771590415,150.327169342041,95462.45,0.525
35,35.0,165.78040067884658,149.97028579711915,95770.95,0.445
