xxxx,xxxx,xxxxx,xxxxx,xxxxx,xxxxx
4001,4001,135.6379,130.3108,0,1.1733
4002,4002,135.6055,129.448,0,1.205
4003,4003,135.5691,130.6868,0,1.1842
4004,4004,135.5327,128.0116,0,1.1863
4005,4005,135.5517,127.1911,0,1.1963
4006,4006,135.6193,127.9724,0,1.1968
4007,4007,135.6365,126.0084,0,1.2152
4008,4008,135.6022,128.2781,0,1.192
4009,4009,135.515,129.7422,0,1.1917
4010,4010,135.5521,129.3143,0,1.163
4011,4011,135.5149,128.3417,0,1.1533
4012,4012,135.4789,128.1308,0,1.2031
4013,4013,135.5231,129.0292,0,1.1785
4014,4014,135.4824,126.9687,0,1.1723
4015,4015,135.5038,126.7235,0,1.1859
4016,4016,135.6056,126.5875,0,1.1946
4017,4017,135.5924,128.1671,0,1.1771
4018,4018,135.5325,129.3382,0,1.1908
4019,4019,135.5628,129.1487,0,1.1779
4020,4020,135.4135,129.4042,0,1.1704
4021,4021,135.5591,127.9456,0,1.1716
4022,4022,135.5931,129.0938,0,1.2137
4023,4023,135.5599,129.5874,0,1.2112
4024,4024,135.5961,127.7139,0,1.1986
4025,4025,135.5876,126.9968,0,1.1845
4026,4026,135.5772,128.1909,0,1.1981
4027,4027,135.564,129.6697,0,1.1832
4028,4028,135.5638,127.9996,0,1.1917
4029,4029,135.5579,127.6003,0,1.1876
4030,4030,135.5662,128.2875,0,1.1884
4031,4031,135.5444,129.9382,0,1.1463
4032,4032,135.4998,130.3262,0,1.2059
4033,4033,135.5193,128.7077,0,1.1977
4034,4034,135.5055,128.1068,0,1.1792
4035,4035,135.5069,129.2279,0,1.1729
4036,4036,135.562,127.7585,0,1.1891
4037,4037,135.5341,129.0809,0,1.1887
4038,4038,135.514,129.1658,0,1.206
4039,4039,135.5943,128.2745,0,1.1746
4040,4040,135.514,127.992,0,1.2022
4041,4041,135.5138,128.9131,0,1.1787
4042,4042,135.5162,127.4041,0,1.204
4043,4043,135.5175,127.9778,0,1.1812
4044,4044,135.5864,129.5445,0,1.1837
4045,4045,135.4922,129.0402,0,1.1658
4046,4046,135.508,128.3404,0,1.1729
