xxx,Epoch,Loss
Training,8,271.6723
Training,9,256.2596
Training,10,242.2791
Training,11,230.8673
Training,12,220.7271
Training,13,212.2685
Training,14,206.1809
Training,15,199.746
Training,16,196.0799
Training,17,193.3919
Training,18,190.1126
Training,19,188.277
Training,20,186.9432
Training,21,186.0491
Training,22,185.2679
Training,23,184.865
Training,24,184.1532
Training,25,183.9705
Training,26,183.7432
Training,27,183.4192
Training,28,183.2889
Training,29,183.0336
Training,30,183.1361
Training,31,182.9497
Training,32,182.8353
Training,33,182.8428
Training,34,182.7572
Training,35,182.8004
Training,36,182.779
Training,37,182.6176
Training,38,182.4965
Training,39,182.5953
Training,40,182.4809
Training,41,182.4604
Training,42,182.4206
Training,43,182.5205
Training,44,182.4866
Training,45,182.4251
Training,46,182.312
Training,47,182.3056
Training,48,182.391
Training,49,182.2275
Training,50,182.2283
Training,51,182.2916
Training,52,182.2048
Training,53,182.1402
Training,54,182.18
Training,55,182.1749
Training,56,182.2079
Training,57,182.2108
Training,58,182.151
Training,59,182.23
Training,60,182.2875
Training,61,182.1548
Training,62,182.1682
Training,63,182.0822
Training,64,181.9173
Training,65,182.1262
Training,66,182.1358
Training,67,182.0626
Training,68,182.1355
Training,69,182.0051
Training,70,181.9394
Training,71,181.9272
Training,72,182.0515
Training,73,182.1352
Training,74,182.0864
Training,75,181.9508
Training,76,182.0255
Training,77,181.9443
Training,78,181.9715
Training,79,182.0769
Training,80,182.1128
Training,81,181.9875
Training,82,181.9467
Training,83,181.9243
Training,84,181.826
Training,85,181.9215
Training,86,181.8384
Training,87,181.9031
Training,88,181.9616
Training,89,181.8654
Training,90,181.8339
Training,91,181.8195
Training,92,181.8068
Training,93,181.8339
Training,94,181.9492
Training,95,181.7498
Training,96,181.7773
Training,97,181.7019
Training,98,181.6941
Training,99,181.8143
Training,100,181.7612
Training,101,181.6694
Training,102,181.616
Training,103,181.81
Training,104,181.6664
Training,105,181.5594
Training,106,181.6237
Training,107,181.5343
Training,108,181.4722
Training,109,181.4942
Training,110,181.4487
Training,111,181.6687
Training,112,181.4996
Training,113,181.3798
Training,114,181.4394
Training,115,181.4068
Training,116,181.4893
Training,117,181.3659
Training,118,181.386
Training,119,181.3028
Training,120,181.3508
Training,121,181.2789
Training,122,181.1288
Training,123,181.2648
Training,124,181.0257
Training,125,181.0788
Training,126,181.0251
Training,127,181.1193
Training,128,180.9845
Training,129,180.8403
Training,130,180.9319
Training,131,180.7529
Training,132,180.7854
Training,133,180.7102
Training,134,180.7444
Training,135,180.6023
Training,136,180.6849
Training,137,180.3841
Training,138,180.5235
Training,139,180.3872
Training,140,180.3727
Training,141,180.2772
Training,142,180.1289
Training,143,180.1334
Training,144,179.9691
Training,145,180.0385
Training,146,180.1166
Training,147,179.8581
Training,148,179.6735
Training,149,179.706
Training,150,179.5521
Training,151,179.5006
Training,152,179.4509
Training,153,179.2926
Training,154,179.2503
Training,155,179.0492
Training,156,178.9323
Training,157,178.8242
Training,158,178.8804
Training,159,178.7291
Training,160,178.5389
Training,161,178.4518
Training,162,178.4712
Training,163,178.3681
Training,164,178.1354
Training,165,178.1149
Training,166,177.9252
Training,167,177.8388
Training,168,177.8225
Training,169,177.7021
Training,170,177.6838
Training,171,177.5614
Training,172,177.4873
Training,173,177.35
Training,174,177.3527
Training,175,177.148
Training,176,177.1165
Training,177,177.0168
Training,178,176.8609
Training,179,176.8485
Training,180,176.7749
Training,181,176.7036
Training,182,176.5325
Training,183,176.5587
Training,184,176.3311
Training,185,176.393
Training,186,176.4238
Training,187,176.2637
Training,188,176.2041
Training,189,176.1287
Training,190,176.091
Training,191,176.0842
Training,192,175.9711
Training,193,175.9812
Training,194,175.8269
Training,195,175.7128
Training,196,175.7772
Training,197,175.7512
Training,198,175.6778
Training,199,175.6402
Training,200,175.5698
Training,201,175.3905
Training,202,175.6273
Training,203,175.388
Training,204,175.4407
Training,205,175.3476
Training,206,175.3099
Training,207,175.2623
Training,208,175.2837
Training,209,175.349
Training,210,175.2496
Training,211,175.2262
Training,212,175.1214
Training,213,175.2197
Training,214,175.113
Training,215,175.1439
Training,216,175.128
Training,217,175.1683
Training,218,175.1149
Training,219,175.1327
Training,220,175.0288
Training,221,175.0217
Training,222,175.0135
Training,223,174.9988
Training,224,174.9426
Training,225,174.8958
Training,226,174.8603
Training,227,174.9111
Training,228,174.9479
Training,229,174.8294
Training,230,174.8575
Training,231,174.8802
Training,232,174.9192
Training,233,174.8599
Training,234,174.7711
Training,235,174.7726
Training,236,174.7125
Training,237,174.7014
Training,238,174.8009
Training,239,174.7048
Training,240,174.7917
Training,241,174.7356
Training,242,174.6678
Training,243,174.5998
Training,244,174.595
Training,245,174.7441
Training,246,174.6485
Training,247,174.6728
Training,248,174.6721
Training,249,174.5618
Training,250,174.6751
Training,251,174.5736
Training,252,174.4969
Training,253,174.6411
Training,254,174.5393
Training,255,174.5601
Training,256,174.5458
Training,257,174.5499
Training,258,174.4923
Training,259,174.5096
Training,260,174.4725
Training,261,174.4577
Training,262,174.4726
Training,263,174.5145
Training,264,174.4648
Training,265,174.4331
Training,266,174.3738
Training,267,174.4158
Training,268,174.3267
Training,269,174.3376
Training,270,174.3815
Training,271,174.3001
Training,272,174.3557
Training,273,174.3625
Training,274,174.2698
Training,275,174.3324
Training,276,174.2441
Training,277,174.3229
Training,278,174.1726
Training,279,174.3272
Training,280,174.2619
Training,281,174.3129
Training,282,174.2802
Training,283,174.3534
Training,284,174.2624
Training,285,174.1698
Training,286,174.2174
Training,287,174.268
Training,288,174.119
Training,289,174.2643
Training,290,174.1639
Training,291,174.1447
Training,292,174.112
Training,293,174.1211
Training,294,174.1559
Training,295,174.165
Training,296,174.1069
Training,297,174.1327
Training,298,174.1166
Training,299,174.2343
Training,300,174.038
Training,301,174.0728
Training,302,174.0905
Training,303,173.9816
Training,304,174.0532
Training,305,174.0199
Training,306,173.9063
Training,307,173.9216
Training,308,174.0155
Training,309,173.9942
Training,310,174.0163
Training,311,174.0374
Training,312,173.9315
Training,313,173.954
Training,314,173.9415
Training,315,173.9258
Training,316,173.9846
Training,317,173.8842
Training,318,173.9275
Training,319,173.9246
Training,320,173.8723
Training,321,173.8997
Training,322,173.914
Training,323,173.8789
Training,324,173.8822
Training,325,173.8545
Training,326,173.7945
Training,327,173.8213
Training,328,173.7789
Training,329,173.8518
Training,330,173.8067
Training,331,173.8025
Training,332,173.8337
Training,333,173.8133
Training,334,173.7129
Training,335,173.7725
Training,336,173.6877
Training,337,173.7732
Training,338,173.7889
Training,339,173.7317
Training,340,173.6716
Training,341,173.6057
Training,342,173.655
Training,343,173.7606
Training,344,173.6133
Training,345,173.6677
Training,346,173.6819
Training,347,173.5446
Training,348,173.6464
Training,349,173.5741
Training,350,173.6789
Training,351,173.645
Training,352,173.6745
Training,353,173.6383
Training,354,173.6127
Training,355,173.5928
Training,356,173.6568
Training,357,173.607
Training,358,173.6084
Training,359,173.5391
Training,360,173.5324
Training,361,173.6071
Training,362,173.5798
Training,363,173.5242
Training,364,173.5257
Training,365,173.5115
Training,366,173.5337
Training,367,173.5108
Training,368,173.3831
Training,369,173.5916
Training,370,173.4711
Training,371,173.5385
Training,372,173.454
Training,373,173.4579
Training,374,173.398
Training,375,173.5193
Training,376,173.5204
Training,377,173.3985
Training,378,173.4787
Training,379,173.4112
Training,380,173.3212
Training,381,173.431
Training,382,173.3661
Training,383,173.4258
Training,384,173.3459
Training,385,173.4086
Training,386,173.3384
Training,387,173.2213
Training,388,173.4183
Training,389,173.3348
Training,390,173.2907
Training,391,173.3477
Training,392,173.4189
Training,393,173.3607
Training,394,173.3499
Training,395,173.2518
Training,396,173.1787
Training,397,173.3379
Training,398,173.273
Training,399,173.3212
Training,400,173.3159
Training,401,173.2555
Training,402,173.2182
Training,403,173.2852
Training,404,173.2358
Training,405,173.1783
Training,406,173.225
Training,407,173.2159
Training,408,173.2913
Training,409,173.2349
Training,410,173.244
Training,411,173.2353
Training,412,173.2705
Training,413,173.1315
Training,414,173.257
Training,415,173.2379
Training,416,173.1461
Training,417,173.1679
Training,418,173.1796
Training,419,173.1983
Training,420,173.1366
Training,421,173.0297
Training,422,173.0899
Training,423,173.1289
Training,424,173.1182
Training,425,173.1387
Training,426,173.1366
Training,427,173.1301
Training,428,173.1146
Training,429,172.982
Training,430,173.07
Training,431,173.0752
Training,432,172.9515
Training,433,173.0682
Training,434,173.0359
Training,435,173.0941
Training,436,173.0257
Training,437,173.1135
Training,438,173.033
Training,439,172.9346
Training,440,173.0159
Training,441,173.0493
Training,442,173.0314
Training,443,173.1259
Training,444,173.0875
Training,445,172.9301
Training,446,173.0187
Training,447,172.9452
Training,448,172.9472
Training,449,172.9154
Training,450,172.9278
Training,451,173.0111
Training,452,173.01
Training,453,172.9862
Training,454,172.8633
Training,455,172.9662
Training,456,172.875
Training,457,172.9174
Training,458,172.9114
Training,459,172.93
Training,460,172.8521
Training,461,172.8665
Training,462,172.8392
Training,463,172.8399
Training,464,172.8713
Training,465,172.9801
Training,466,172.8752
Training,467,172.8798
Training,468,172.9156
Training,469,172.8236
Training,470,172.9323
Training,471,172.7717
Training,472,172.8416
Training,473,172.8297
Training,474,172.6748
Training,475,172.8895
Training,476,172.8878
Training,477,172.8224
Training,478,172.845
Training,479,172.7731
Training,480,172.8307
Training,481,172.7808
Training,482,172.6666
Training,483,172.8195
Training,484,172.7847
Training,485,172.7982
Training,486,172.7158
Training,487,172.7487
Training,488,172.7893
Training,489,172.8234
Training,490,172.78
Training,491,172.7921
Training,492,172.7169
Training,493,172.69
Training,494,172.6639
Training,495,172.6898
Training,496,172.7401
Training,497,172.6381
Training,498,172.6612
Training,499,172.7696
Training,500,172.721
Training,501,172.647
Training,502,172.6514
Training,503,172.6447
Training,504,172.7099
Training,505,172.6388
Training,506,172.5288
Training,507,172.7015
Training,508,172.6592
Training,509,172.622
Training,510,172.587
Training,511,172.6463
Training,512,172.7041
Training,513,172.6004
Training,514,172.6167
Training,515,172.6507
Training,516,172.6445
Training,517,172.6024
Training,518,172.5654
Training,519,172.6117
Training,520,172.6438
Training,521,172.5445
Training,522,172.5679
Training,523,172.652
Training,524,172.6033
Training,525,172.5078
Training,526,172.4887
Training,527,172.5831
Training,528,172.5482
Training,529,172.5628
Training,530,172.4898
Training,531,172.4841
Training,532,172.5812
Training,533,172.5222
Training,534,172.493
Training,535,172.4004
Training,536,172.5086
Training,537,172.5914
Training,538,172.5325
Training,539,172.4238
Training,540,172.5457
Training,541,172.5248
Training,542,172.449
Training,543,172.447
Training,544,172.4578
Training,545,172.48
Training,546,172.4656
Training,547,172.4089
Training,548,172.4976
Training,549,172.4053
Training,550,172.3893
Training,551,172.4142
Training,552,172.3353
Training,553,172.4491
Training,554,172.4817
Training,555,172.4396
Training,556,172.4905
Training,557,172.4372
Training,558,172.3985
Training,559,172.4518
Training,560,172.4544
Training,561,172.414
Training,562,172.3707
Training,563,172.3328
Training,564,172.3518
Training,565,172.3298
Training,566,172.3168
Training,567,172.4249
Training,568,172.4173
Training,569,172.3965
Training,570,172.357
Training,571,172.2593
Training,572,172.2736
Training,573,172.3496
Training,574,172.3624
Training,575,172.3254
Training,576,172.3096
