epoch,training_loss,testing_loss,accuracy
0,215.2129,173.3586,0.316
1,159.8716,149.3139,0.284
2,145.663,140.5719,0.349
3,138.8686,135.4167,0.402
4,134.8002,131.9792,0.441
5,131.7578,129.2657,0.478
6,129.3235,127.1497,0.527
7,127.2851,125.269,0.542
8,125.5654,123.675,0.581
9,124.0745,122.1972,0.606
10,122.7655,121.0712,0.602
11,121.6152,120.0513,0.632
12,120.5756,119.0718,0.634
13,119.6871,118.1937,0.662
14,118.8531,117.3836,0.657
15,118.0899,116.8904,0.671
16,117.4107,116.0322,0.69
17,116.8003,115.5104,0.688
18,116.2167,115.0028,0.701
19,115.6986,114.4448,0.707
20,115.1858,113.9848,0.725
21,114.7036,113.5869,0.744
22,114.2736,113.1056,0.755
23,113.8802,112.8357,0.749
24,113.501,112.4604,0.752
25,113.1366,112.1172,0.746
26,112.7799,111.8063,0.758
27,112.4652,111.5681,0.778
28,112.144,111.2559,0.781
29,111.8442,110.9629,0.807
30,111.5543,110.6118,0.805
31,111.2863,110.2773,0.822
32,111.009,110.2425,0.806
33,110.7796,109.9103,0.806
34,110.5493,109.7368,0.826
35,110.2969,109.4278,0.839
36,110.1141,109.283,0.834
37,109.8916,109.0938,0.822
38,109.6775,108.9393,0.852
39,109.4964,108.6744,0.857
40,109.2808,108.5316,0.834
41,109.117,108.3741,0.863
42,108.943,108.3299,0.856
43,108.7764,108.1874,0.874
44,108.6112,107.9374,0.86
45,108.4567,107.8209,0.874
46,108.3179,107.6648,0.874
47,108.1579,107.5772,0.879
48,108.0253,107.417,0.885
49,107.8751,107.2064,0.882
50,107.7555,107.108,0.895
51,107.6234,107.0602,0.895
52,107.4903,107.0128,0.897
53,107.3805,106.8205,0.89
54,107.2479,106.6061,0.903
55,107.142,106.5496,0.9
56,107.044,106.5703,0.91
57,106.9256,106.3836,0.899
58,106.8046,106.288,0.891
59,106.7086,106.2077,0.92
60,106.6166,106.09,0.905
61,106.5239,106.0614,0.903
62,106.4154,105.9418,0.92
63,106.317,105.8536,0.9
64,106.2427,105.9244,0.899
65,106.151,105.6013,0.929
66,106.0701,105.6306,0.92
67,105.992,105.6019,0.912
68,105.8836,105.507,0.921
69,105.8107,105.407,0.936
70,105.7382,105.3295,0.933
71,105.6513,105.208,0.931
72,105.5836,105.2177,0.931
73,105.4985,105.2521,0.932
74,105.4156,105.0014,0.936
75,105.3538,105.0208,0.929
76,105.2716,104.9579,0.929
77,105.2009,104.8167,0.933
78,105.128,104.8247,0.925
79,105.0714,104.7207,0.93
80,105.0056,104.6626,0.937
81,104.9481,104.5451,0.947
82,104.8587,104.5508,0.943
83,104.7984,104.6225,0.935
84,104.7434,104.4276,0.938
85,104.6841,104.3691,0.945
86,104.6091,104.399,0.948
87,104.5645,104.3157,0.947
88,104.469,104.2809,0.946
89,104.4342,104.1376,0.95
90,104.3568,104.0979,0.939
91,104.3174,104.0782,0.96
92,104.2417,104.1188,0.946
93,104.1994,103.9861,0.944
94,104.1339,103.9225,0.943
95,104.0623,103.8908,0.951
96,104.0313,103.9285,0.948
97,103.9627,103.7394,0.961
98,103.9117,103.7554,0.961
99,103.8567,103.8118,0.948
100,103.8227,103.697,0.957
101,103.7533,103.5757,0.962
102,103.7148,103.5735,0.952
103,103.6662,103.4499,0.952
104,103.5861,103.4319,0.963
105,103.5716,103.3763,0.961
106,103.5135,103.4277,0.951
107,103.4768,103.3819,0.971
108,103.4083,103.3164,0.964
109,103.3911,103.2246,0.958
110,103.3119,103.22,0.962
111,103.2557,103.1936,0.966
112,103.2447,103.0842,0.963
113,103.159,103.0456,0.96
114,103.1126,103.1157,0.967
115,103.0897,102.9668,0.96
116,103.0224,102.9737,0.966
117,102.9797,102.9845,0.968
118,102.9633,102.9094,0.97
119,102.9192,102.8692,0.977
120,102.8675,102.8772,0.959
121,102.8047,102.8791,0.957
122,102.7869,102.9425,0.965
123,102.7501,102.8132,0.956
124,102.6932,102.6946,0.958
125,102.6481,102.743,0.97
126,102.5998,102.6685,0.967
127,102.5618,102.5361,0.967
128,102.5302,102.736,0.971
129,102.4768,102.4842,0.974
130,102.4407,102.5112,0.973
131,102.4108,102.3751,0.971
132,102.3591,102.5245,0.964
133,102.3308,102.4495,0.974
134,102.2838,102.3121,0.981
135,102.2392,102.3588,0.973
136,102.2121,102.2196,0.967
137,102.1389,102.2831,0.974
138,102.1426,102.2169,0.969
139,102.084,102.1986,0.966
140,102.0513,102.2484,0.977
141,102.0084,102.0414,0.973
142,101.9811,102.1036,0.969
143,101.9618,102.061,0.974
144,101.9164,102.1065,0.975
145,101.8749,102.0333,0.966
146,101.8209,101.9715,0.97
147,101.7975,102.069,0.977
148,101.7535,101.9119,0.974
149,101.7211,101.9424,0.971
150,101.7018,101.8769,0.976
151,101.6565,101.9014,0.967
152,101.6354,101.8422,0.976
153,101.5948,101.7873,0.975
154,101.5587,101.7842,0.975
155,101.5276,101.7271,0.974
156,101.4936,101.6794,0.976
157,101.4516,101.6665,0.974
158,101.4227,101.6041,0.972
159,101.3802,101.5537,0.976
160,101.3552,101.5589,0.984
161,101.3016,101.6879,0.988
162,101.2958,101.5489,0.984
163,101.2286,101.6387,0.984
164,101.2104,101.5021,0.973
165,101.1897,101.5612,0.982
166,101.1674,101.5106,0.977
167,101.1311,101.501,0.975
168,101.0959,101.4271,0.977
169,101.047,101.3324,0.983
170,101.0301,101.3408,0.984
171,100.9869,101.2303,0.98
172,100.9633,101.2681,0.976
173,100.9403,101.2835,0.97
174,100.9083,101.212,0.977
175,100.8886,101.1759,0.974
176,100.8465,101.1627,0.979
177,100.8054,101.1731,0.979
178,100.7953,101.1972,0.974
179,100.7534,101.1025,0.983
180,100.7256,101.0942,0.98
181,100.6856,101.0898,0.983
182,100.6935,101.066,0.98
183,100.6475,101.0253,0.974
184,100.6015,101.0013,0.973
185,100.5822,101.1206,0.978
186,100.5527,100.9074,0.979
187,100.5345,100.9731,0.981
188,100.5023,100.8596,0.971
189,100.4867,100.8375,0.977
190,100.4588,100.8897,0.975
191,100.4189,100.8648,0.983
192,100.3914,100.7518,0.978
193,100.3467,100.8184,0.982
194,100.3395,100.7119,0.981
195,100.2963,100.7596,0.977
196,100.2955,100.8345,0.985
197,100.255,100.659,0.98
198,100.2258,100.7,0.981
199,100.2081,100.7165,0.987
200,100.2093,100.5431,0.979
201,100.1625,100.6828,0.975
202,100.1328,100.5844,0.979
203,100.1251,100.5905,0.989
204,100.0781,100.5198,0.985
205,100.0406,100.5172,0.98
206,100.0287,100.5047,0.978
207,100.0025,100.4581,0.979
208,99.9829,100.468,0.982
209,99.9612,100.4965,0.98
210,99.9247,100.4058,0.988
211,99.8959,100.4216,0.979
212,99.8749,100.4655,0.979
213,99.8636,100.4265,0.979
214,99.8456,100.3719,0.974
215,99.7992,100.3142,0.976
216,99.7854,100.33,0.984
217,99.772,100.3198,0.987
218,99.7429,100.3495,0.99
219,99.7093,100.3772,0.973
220,99.6957,100.1877,0.977
221,99.6672,100.2224,0.982
222,99.6579,100.2075,0.977
223,99.6382,100.2353,0.981
224,99.603,100.1736,0.983
225,99.5732,100.1373,0.983
226,99.563,100.148,0.986
227,99.5389,100.1463,0.99
228,99.5367,100.0618,0.987
229,99.4926,100.0557,0.984
230,99.488,100.0123,0.978
231,99.4591,100.0892,0.987
232,99.4451,100.0055,0.982
233,99.4239,99.9199,0.98
234,99.3859,100.0236,0.981
235,99.3504,100.0062,0.984
236,99.359,99.9726,0.984
237,99.3232,99.9423,0.983
238,99.306,99.9163,0.981
239,99.2644,99.8687,0.982
240,99.2499,99.8484,0.984
241,99.2336,99.9491,0.985
242,99.2111,99.9219,0.984
243,99.2208,99.9134,0.986
244,99.1978,99.871,0.988
245,99.1616,99.8429,0.985
246,99.1519,99.8927,0.98
247,99.1474,99.7906,0.986
